City,NBA Finals wins by team (1946 - 2024),Number of Championship
Boston ,Celtics,18
Los Angeles ,Lakers,17
Golden State ,Warriors,7
Chicago ,Bulls,6
San Antonio,Spurs,5
Philadelphia,76ers,3
Detroit,Pistons,3
Miami ,Heat,3
Houston ,Rockets,2
New York ,Knicks,2
Milwaukee ,Bucks,2
Denver ,Nuggets,1
Toronto ,Raptors,1
Cleveland,Cavaliers,1
Dallas,Mavericks,1
Oklahoma City,Thunder,1
Washington,Wizards,2
Portland ,Trail Blazers,1
Atlanta,Hawks,1
Sacramento,Kings,1
Brooklyn,Nets,0
Charlotte ,Hornets,0
Indiana ,Pacers,0
Inglewood,Clippers,0
Memphis, Grizzlies,0
Minnesota,Timberwolves,0
New Orleans ,Pelicans,0
Orlando, Magic,0
Phoenix ,Suns,0
Utah ,Jazz,0